2025-04-03 12:23:05,92
2025-04-03 12:28:36,97
2025-04-03 12:29:44,97
2025-04-03 12:30:52,92
2025-04-03 12:32:00,92
2025-04-03 12:33:09,92
2025-04-03 12:34:17,97
2025-04-03 12:35:26,97
2025-04-03 12:36:33,97
2025-04-03 12:37:42,97
2025-04-03 12:38:51,97
2025-04-03 12:40:00,97
2025-04-03 12:41:09,97
2025-04-03 12:42:18,97
2025-04-03 15:02:22,96
2025-04-03 15:14:18,95
2025-04-03 15:22:18,97
2025-04-03 15:30:18,97
2025-04-03 15:45:18,98
2025-04-03 15:58:18,97
2025-04-03 16:07:18,98
2025-04-03 16:16:18,99
